pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y
268.020000,700.970000,301.140000,627.210000,319.920000,559.950000,346.940000,481.180000,362.050000,397.690000,374.260000,314.050000,259.870000,596.980000,255.180000,492.810000,256.870000,406.900000,264.830000,328.470000,374.320000,228.830000
268.040000,700.970000,301.160000,627.240000,319.930000,559.990000,346.940000,481.200000,362.040000,397.730000,374.270000,314.060000,259.890000,597.010000,255.200000,492.850000,256.900000,406.940000,264.840000,328.730000,374.340000,228.820000
268.070000,700.990000,301.200000,627.280000,319.970000,560.020000,346.980000,481.230000,362.060000,397.740000,374.290000,314.100000,259.930000,597.050000,255.250000,492.910000,256.950000,407.000000,264.880000,328.810000,374.350000,228.860000
268.110000,701.010000,301.220000,627.320000,320.000000,560.050000,346.990000,481.290000,362.070000,397.770000,374.300000,314.140000,259.970000,597.080000,255.290000,492.970000,256.990000,407.070000,264.900000,328.890000,374.370000,228.890000
268.160000,701.030000,301.270000,627.360000,320.040000,560.090000,347.020000,481.310000,362.070000,397.820000,374.300000,314.200000,260.010000,597.140000,255.370000,493.020000,257.030000,407.140000,264.930000,328.980000,374.400000,228.960000
268.210000,701.050000,301.310000,627.410000,320.080000,560.120000,347.040000,481.340000,362.120000,397.850000,374.310000,314.230000,260.060000,597.180000,255.420000,493.060000,257.060000,407.200000,264.950000,329.030000,374.400000,228.990000
268.280000,701.060000,301.370000,627.430000,320.130000,560.120000,347.080000,481.350000,362.120000,397.870000,374.290000,314.250000,260.100000,597.190000,255.450000,493.080000,257.090000,407.240000,264.950000,329.060000,374.400000,229.000000
268.330000,701.080000,301.420000,627.430000,320.160000,560.160000,347.100000,481.370000,362.150000,397.850000,374.340000,314.260000,260.140000,597.210000,255.510000,493.100000,257.120000,407.290000,264.960000,329.080000,374.420000,229.030000
268.390000,701.090000,301.510000,627.400000,320.190000,560.180000,347.120000,481.380000,362.160000,397.860000,374.350000,314.290000,260.180000,597.240000,255.780000,493.080000,257.130000,407.350000,264.960000,329.120000,374.400000,229.060000
268.300000,701.000000,301.840000,627.230000,320.160000,560.080000,347.100000,481.380000,362.160000,397.880000,374.350000,314.310000,260.190000,597.180000,255.780000,493.080000,257.150000,407.370000,264.980000,329.140000,374.400000,229.070000
267.050000,699.980000,300.840000,626.430000,319.310000,559.120000,345.850000,481.380000,361.550000,398.000000,373.950000,314.410000,259.420000,596.480000,255.170000,492.950000,256.770000,407.200000,264.860000,329.100000,374.120000,229.130000
265.050000,698.630000,299.300000,625.540000,317.620000,558.300000,343.530000,481.820000,360.090000,398.540000,373.220000,314.880000,258.020000,595.750000,253.990000,492.760000,255.840000,406.960000,264.460000,328.930000,373.920000,229.220000
263.070000,697.670000,297.630000,624.930000,315.600000,557.980000,341.250000,482.110000,358.620000,399.120000,372.740000,315.150000,256.400000,595.150000,252.710000,492.510000,254.800000,406.510000,263.940000,328.670000,373.710000,229.310000
261.100000,697.250000,295.870000,624.630000,313.540000,557.890000,339.130000,482.310000,356.840000,399.740000,371.960000,315.460000,254.920000,594.970000,251.550000,492.180000,253.810000,405.910000,263.350000,328.120000,373.260000,229.400000
259.210000,697.000000,294.030000,624.340000,311.590000,557.670000,337.070000,482.430000,355.130000,400.030000,371.070000,315.840000,253.280000,594.690000,250.450000,491.990000,252.870000,405.170000,263.130000,327.820000,372.840000,229.430000
257.610000,696.790000,292.310000,624.080000,309.910000,557.320000,335.050000,482.570000,353.590000,400.310000,370.300000,315.990000,251.970000,594.270000,249.430000,491.810000,252.000000,404.570000,262.960000,327.270000,372.340000,229.490000
254.980000,694.980000,290.180000,622.510000,307.280000,556.010000,332.700000,481.500000,351.760000,399.760000,368.710000,315.630000,249.890000,592.880000,248.110000,490.590000,250.790000,403.680000,262.120000,326.410000,371.070000,229.340000
252.240000,692.090000,287.540000,620.120000,304.550000,553.820000,329.600000,480.140000,349.580000,398.710000,366.590000,314.950000,247.720000,590.720000,246.850000,489.090000,249.420000,402.170000,261.040000,325.040000,369.240000,228.940000
249.680000,689.320000,284.770000,618.010000,301.670000,551.950000,326.590000,479.060000,346.980000,398.020000,364.910000,314.330000,245.620000,588.780000,246.460000,487.380000,248.180000,400.810000,260.270000,323.870000,367.790000,228.570000
247.880000,687.460000,282.760000,616.470000,299.180000,550.820000,323.870000,478.640000,344.480000,397.810000,363.410000,314.010000,244.100000,587.120000,246.100000,486.100000,247.390000,399.500000,259.800000,322.990000,366.750000,228.150000
246.880000,686.440000,281.740000,615.540000,297.560000,550.520000,322.000000,478.480000,343.890000,397.250000,362.430000,313.840000,243.240000,586.170000,246.000000,485.300000,246.930000,398.780000,259.400000,322.340000,366.150000,228.000000
246.950000,686.020000,281.480000,615.130000,297.370000,550.070000,321.970000,478.020000,343.690000,397.000000,362.570000,313.380000,243.140000,585.730000,245.880000,484.810000,246.790000,398.350000,259.150000,322.000000,366.030000,227.870000
249.030000,686.520000,282.770000,615.340000,299.010000,550.050000,323.730000,477.950000,344.840000,396.880000,363.450000,313.170000,244.200000,586.030000,245.870000,484.620000,247.110000,398.310000,259.180000,321.960000,366.770000,227.680000
254.100000,687.900000,286.390000,616.260000,303.540000,550.250000,327.950000,477.870000,347.530000,396.720000,365.180000,312.950000,247.090000,586.930000,246.150000,485.010000,248.050000,398.700000,259.460000,322.120000,368.270000,227.280000
259.560000,689.910000,290.830000,618.010000,308.150000,551.550000,332.740000,477.880000,350.940000,396.410000,367.140000,312.760000,250.550000,588.370000,247.300000,486.020000,249.390000,399.690000,260.100000,322.640000,369.680000,227.050000
263.580000,692.070000,294.680000,619.910000,312.040000,552.980000,337.030000,477.880000,354.070000,396.160000,368.920000,312.590000,253.560000,590.060000,248.920000,487.120000,250.860000,400.940000,260.870000,323.350000,370.820000,227.010000
265.700000,693.660000,296.680000,621.210000,314.280000,554.010000,339.750000,477.990000,356.320000,395.990000,370.180000,312.390000,255.460000,591.310000,250.220000,487.970000,251.960000,401.830000,261.560000,324.040000,371.580000,227.050000
266.590000,694.580000,297.840000,621.980000,315.500000,554.750000,341.160000,478.150000,357.450000,395.990000,370.990000,312.400000,256.530000,591.990000,251.290000,488.520000,252.870000,402.420000,262.030000,324.650000,372.020000,227.120000
