pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y
373.020000,29.990000,356.870000,97.840000,354.710000,173.750000,340.490000,261.270000,317.650000,353.110000,289.030000,454.010000,271.810000,492.750000,225.270000,585.060000
373.020000,29.990000,356.880000,97.830000,354.700000,173.750000,340.440000,261.270000,317.630000,353.110000,289.030000,454.000000,271.790000,492.720000,225.260000,585.050000
373.010000,29.960000,356.870000,97.820000,354.700000,173.750000,340.440000,261.270000,317.630000,353.110000,288.990000,453.960000,271.790000,492.710000,225.260000,585.040000
373.020000,29.970000,356.890000,97.820000,354.700000,173.750000,340.430000,261.250000,317.580000,353.070000,288.990000,453.960000,271.790000,492.710000,225.270000,585.040000
373.020000,29.990000,356.890000,97.830000,354.700000,173.750000,340.380000,261.240000,317.560000,353.070000,289.000000,453.950000,271.760000,492.670000,225.270000,585.040000
373.010000,29.960000,356.780000,97.850000,354.710000,173.750000,340.350000,261.230000,317.550000,353.070000,288.990000,453.940000,271.760000,492.670000,225.280000,585.030000
373.010000,29.970000,356.790000,97.860000,354.690000,173.750000,340.340000,261.220000,317.490000,353.060000,288.990000,453.940000,271.750000,492.680000,225.280000,585.030000
373.010000,29.970000,356.880000,97.840000,354.670000,173.750000,340.320000,261.210000,317.390000,353.040000,288.980000,453.940000,271.750000,492.660000,225.270000,585.040000
372.970000,30.000000,356.800000,97.830000,354.520000,173.770000,340.240000,261.180000,317.310000,353.010000,288.930000,453.920000,271.740000,492.600000,225.280000,585.010000
372.970000,30.000000,356.800000,97.830000,354.490000,173.760000,340.240000,261.180000,317.310000,353.010000,288.930000,453.920000,271.740000,492.600000,225.280000,585.010000
372.960000,29.980000,356.780000,97.830000,354.510000,173.760000,340.240000,261.190000,317.310000,353.010000,288.950000,453.910000,271.740000,492.580000,225.290000,585.000000
372.960000,29.980000,356.790000,97.820000,354.530000,173.770000,340.240000,261.190000,317.310000,353.010000,288.950000,453.900000,271.740000,492.580000,225.280000,585.000000
372.970000,30.010000,356.800000,97.820000,354.570000,173.760000,340.250000,261.190000,317.330000,353.000000,288.950000,453.890000,271.740000,492.570000,225.300000,585.000000
372.970000,29.990000,356.770000,97.810000,354.570000,173.770000,340.250000,261.190000,317.320000,353.000000,288.960000,453.880000,271.740000,492.570000,225.300000,585.000000
372.960000,29.970000,356.780000,97.820000,354.570000,173.770000,340.250000,261.190000,317.310000,353.000000,288.940000,453.880000,271.740000,492.570000,225.300000,585.000000
372.950000,29.960000,356.780000,97.820000,354.560000,173.750000,340.240000,261.190000,317.310000,353.000000,288.940000,453.870000,271.740000,492.550000,225.310000,584.990000
372.960000,29.970000,356.770000,97.810000,354.570000,173.760000,340.240000,261.190000,317.310000,353.000000,288.940000,453.870000,271.730000,492.550000,225.310000,584.990000
372.960000,29.970000,356.770000,97.830000,354.560000,173.750000,340.230000,261.190000,317.280000,352.980000,288.940000,453.870000,271.720000,492.530000,225.310000,584.990000
372.930000,29.960000,356.760000,97.820000,354.560000,173.750000,340.200000,261.170000,317.270000,352.980000,288.930000,453.850000,271.720000,492.520000,225.320000,584.990000
372.930000,29.980000,356.650000,97.830000,354.520000,173.740000,340.200000,261.160000,317.270000,352.970000,288.930000,453.850000,271.720000,492.520000,225.320000,584.990000
372.920000,30.000000,356.670000,97.830000,354.480000,173.720000,340.190000,261.140000,317.250000,352.970000,288.930000,453.810000,271.720000,492.510000,225.310000,584.990000
372.880000,30.030000,356.650000,97.880000,354.340000,173.650000,340.120000,261.100000,317.190000,352.940000,288.900000,453.820000,271.740000,492.470000,225.300000,584.970000
372.870000,29.990000,356.720000,97.830000,354.340000,173.650000,340.120000,261.100000,317.190000,352.940000,288.910000,453.810000,271.690000,492.250000,225.300000,584.960000
372.870000,29.990000,356.710000,97.810000,354.330000,173.640000,340.120000,261.110000,317.190000,352.940000,288.920000,453.810000,271.680000,492.280000,225.290000,584.960000
372.870000,29.990000,356.710000,97.840000,354.330000,173.640000,340.120000,261.110000,317.190000,352.940000,288.920000,453.810000,271.670000,492.260000,225.290000,584.960000
372.870000,30.000000,356.690000,97.840000,354.340000,173.650000,340.120000,261.100000,317.190000,352.930000,288.910000,453.790000,271.660000,492.230000,225.280000,584.960000
372.870000,30.000000,356.690000,97.830000,354.350000,173.640000,340.120000,261.110000,317.180000,352.940000,288.900000,453.790000,271.660000,492.210000,225.290000,584.940000
372.870000,29.990000,356.700000,97.830000,354.350000,173.640000,340.120000,261.100000,317.180000,352.930000,288.890000,453.790000,271.640000,492.230000,225.290000,584.940000
372.880000,30.010000,356.680000,97.840000,354.360000,173.640000,340.120000,261.100000,317.180000,352.930000,288.910000,453.780000,271.660000,492.210000,225.300000,584.940000
372.880000,30.010000,356.670000,97.820000,354.360000,173.640000,340.120000,261.100000,317.170000,352.920000,288.900000,453.770000,271.660000,492.190000,225.300000,584.940000
372.880000,30.010000,356.670000,97.830000,354.360000,173.630000,340.130000,261.100000,317.170000,352.920000,288.890000,453.750000,271.650000,492.180000,225.310000,584.940000
372.880000,30.010000,356.670000,97.830000,354.340000,173.630000,340.100000,261.080000,317.170000,352.900000,288.890000,453.750000,271.650000,492.180000,225.320000,584.940000
372.880000,30.010000,356.670000,97.830000,354.340000,173.630000,340.100000,261.080000,317.170000,352.900000,288.890000,453.750000,271.650000,492.180000,225.320000,584.940000
372.880000,30.010000,356.660000,97.830000,354.330000,173.640000,340.100000,261.080000,317.150000,352.880000,288.890000,453.760000,271.660000,492.160000,225.300000,584.940000
372.780000,30.030000,356.550000,97.860000,354.250000,173.640000,340.080000,261.080000,317.110000,352.880000,288.880000,453.710000,271.670000,492.130000,225.330000,584.910000
372.780000,30.040000,356.530000,97.830000,354.250000,173.640000,340.080000,261.080000,317.120000,352.880000,288.870000,453.710000,271.660000,492.130000,225.340000,584.900000
372.780000,30.040000,356.540000,97.830000,354.250000,173.640000,340.080000,261.080000,317.120000,352.890000,288.870000,453.710000,271.650000,492.120000,225.340000,584.900000
372.780000,30.040000,356.550000,97.830000,354.250000,173.640000,340.080000,261.080000,317.110000,352.880000,288.870000,453.720000,271.660000,492.100000,225.360000,584.900000
372.770000,30.020000,356.550000,97.850000,354.250000,173.630000,340.080000,261.080000,317.110000,352.890000,288.860000,453.720000,271.680000,492.090000,225.370000,584.900000
372.770000,30.030000,356.540000,97.840000,354.250000,173.640000,340.080000,261.080000,317.110000,352.880000,288.850000,453.710000,271.680000,492.090000,225.370000,584.890000
372.760000,30.020000,356.560000,97.850000,354.250000,173.640000,340.070000,261.080000,317.090000,352.870000,288.810000,453.700000,271.660000,492.070000,225.370000,584.890000
372.760000,30.020000,356.560000,97.830000,354.220000,173.630000,340.060000,261.080000,317.070000,352.840000,288.800000,453.690000,271.630000,492.050000,225.360000,584.890000
372.750000,30.020000,356.540000,97.820000,354.220000,173.630000,340.060000,261.080000,317.080000,352.880000,288.760000,453.650000,271.630000,492.050000,225.360000,584.890000
372.750000,30.020000,356.560000,97.790000,354.220000,173.640000,340.060000,261.070000,317.070000,352.870000,288.740000,453.670000,271.640000,492.050000,225.360000,584.880000
372.750000,30.020000,356.560000,97.820000,354.220000,173.640000,340.060000,261.070000,317.070000,352.860000,288.740000,453.640000,271.660000,492.020000,225.360000,584.860000
372.750000,30.020000,356.560000,97.820000,354.220000,173.630000,340.060000,261.070000,317.060000,352.860000,288.740000,453.630000,271.610000,492.010000,225.360000,584.860000
372.770000,30.060000,356.550000,97.820000,354.160000,173.590000,340.010000,261.040000,317.040000,352.820000,288.710000,453.590000,271.670000,491.970000,225.410000,584.780000
