pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y
473.070000,702.030000,0.000000,0.000000
473.040000,701.980000,0.000000,0.000000
473.030000,701.950000,0.000000,0.000000
473.060000,701.950000,0.000000,0.000000
473.060000,701.940000,0.000000,0.000000
473.070000,701.930000,0.000000,0.000000
473.070000,701.890000,0.000000,0.000000
473.070000,701.840000,0.000000,0.000000
473.050000,701.830000,0.000000,0.000000
473.050000,701.850000,0.000000,0.000000
473.080000,701.840000,0.000000,0.000000
473.110000,701.830000,0.000000,0.000000
473.080000,701.830000,0.000000,0.000000
473.090000,701.830000,0.000000,0.000000
473.080000,701.790000,0.000000,0.000000
473.090000,701.740000,0.000000,0.000000
473.080000,701.790000,0.000000,0.000000
473.060000,701.800000,0.000000,0.000000
473.040000,701.770000,0.000000,0.000000
473.040000,701.710000,0.000000,0.000000
473.070000,701.720000,0.000000,0.000000
473.080000,701.760000,0.000000,0.000000
473.110000,701.770000,0.000000,0.000000
473.130000,701.760000,0.000000,0.000000
473.130000,701.760000,0.000000,0.000000
473.130000,701.750000,0.000000,0.000000
473.150000,701.740000,0.000000,0.000000
473.170000,701.730000,0.000000,0.000000
473.160000,701.760000,0.000000,0.000000
473.170000,701.780000,0.000000,0.000000
473.140000,701.780000,0.000000,0.000000
473.090000,701.730000,0.000000,0.000000
473.110000,701.730000,0.000000,0.000000
473.130000,701.720000,0.000000,0.000000
473.130000,701.720000,0.000000,0.000000
473.110000,701.690000,0.000000,0.000000
473.110000,701.690000,0.000000,0.000000
473.100000,701.670000,0.000000,0.000000
473.150000,701.700000,0.000000,0.000000
473.150000,701.750000,0.000000,0.000000
473.170000,701.760000,0.000000,0.000000
473.170000,701.790000,0.000000,0.000000
473.150000,701.800000,0.000000,0.000000
473.180000,701.820000,0.000000,0.000000
473.150000,701.830000,0.000000,0.000000
473.170000,701.860000,0.000000,0.000000
473.150000,701.900000,0.000000,0.000000
473.230000,701.890000,0.000000,0.000000
473.220000,701.870000,0.000000,0.000000
473.230000,701.860000,0.000000,0.000000
473.230000,701.920000,0.000000,0.000000
473.280000,701.950000,0.000000,0.000000
